Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image,Product Notes
1,SPM1502SJ,Tamura,DC DC CONVERTER 15V 4W,301,In Stock,,1,1,Bulk,MT7389-ND,5.26000,$5.26,1,,SPM1502SJ,26,https://www.tamuracorp.com/electronics/pdf/EN/SPM/SPM1502SJ_1509CE.pdf,,May apply on shipments to the U.S.,,Active,RoHS Compliant,1  (Unlimited),EAR99,8504.40.9580,China,,SPM1502SJ,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/993/SPM1203SJ.JPG,
2,400AX10MEFC8X16,Rubycon,CAP ALUM 10UF 20% 400V RADIAL TH,"3,850",In Stock,,2,2,Bulk,1189-3119-ND,0.74000,$1.48,1,,400AX10MEFC8X16,16,https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/AX.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8532.22.0020,Japan,,400AX10MEFC8X16,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1284/AX-SERIES-8x18mm.jpg,
3,726386-2,TE Connectivity AMP Connectors,CONN QC TAB 0.250 SOLDER,"38,617",In Stock,,6,6,Bulk,A114371-ND,0.22000,$1.32,1,,726386-2,9,https://www.te.com/usa-en/product-726386-2.datasheet.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.90.4000,Switzerland,http://www.te.com/commerce/alt/SinglePartSearch.do?PN=726386-2&dest=stmt,726386-2,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/29/726386-2.JPG,
4,GBU6M,Diotec Semiconductor,BRIDGE RECT 1PHASE 1KV 4.2A GBU,884,In Stock,,1,1,Bulk,4878-GBU6M-ND,0.83000,$0.83,1,,4878-GBU6M-ND,2,https://diotec.com/request/datasheet/gbu6a.pdf,,May apply on shipments to the U.S.,,Active,Not applicable,Not Applicable,EAR99,8541.10.0080,China,https://diotec.com/request/imds/p28_e.pdf,4878-GBU6M-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/MFG_2796_GBU4A.jpg,
5,MOV-10D471K,Bourns Inc.,VARISTOR 470V 2.5KA DISC 10MM,"66,408",In Stock,,1,1,Bulk,118-MOV-10D471K-ND,0.49000,$0.49,1,,MOV-10D471K,13,https://www.bourns.com/docs/Product-Datasheets/MOV10D.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.40.4000,China,https://www.bourns.com/docs/Product-MDS/MOV-10DxxxK.pdf|https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf|https://www.bourns.com/docs/rohs-cofc/gmov_cofc.pdf?sfvrsn=c25579f6_4,MOV-10D471K,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/405/MFG_MOV-10.jpg,
6,BFC233810104,Vishay Beyschlag/Draloric/BC Components,CAP FILM 0.1UF 20% 1KVDC RADIAL,"9,153",In Stock,,1,1,Bulk,BC1575-ND,1.30000,$1.30,1,,BFC233810104,16,https://www.vishay.com/docs/28116/mkp3381x1.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8532.25.0020,India,,BFC233810104,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2573/MKP%20338.jpg,
7,SU9HF-07015,KEMET,CMC 1.5MH 700MA 2LN TH,773,In Stock,,1,1,Tray,399-SU9HF-07015-ND,0.96000,$0.96,1,,SU9HF-07015,33,https://search.kemet.com/download/datasheet/SU9HF-07015,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8504.50.8000,Vietnam,,SU9HF-07015,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/SU9V.jpg,
8,MF72-022D7,Cantherm,ICL 22 OHM 20% 600MA 9MM,"19,910",In Stock,,1,1,Bulk,317-1153-ND,0.43000,$0.43,1,,MF72-022D7,8,https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.40.8070,China,https://www.cantherm.com/wp-content/uploads/2017/05/RoHS-3-English-2015-863-EU-SEP-18-2019.pdf,MF72-022D7,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/929/MF72-022D7.JPG,
9,EKMM401VSN221MP50S,Chemi-Con,CAP ALUM 400V POLAR,388,In Stock,,1,1,Bulk,565-EKMM401VSN221MP50S-ND,5.43000,$5.43,1,,EKMM401VSN221MP50S,18,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KMMN-e.PDF,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8532.22.0040,Japan,,EKMM401VSN221MP50S,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3603/EKMGXXXELLXXXMHBXD.jpg,
10,3296W-1-502LF,Bourns Inc.,TRIMMER 5K OHM 0.5W PC PIN TOP,514,In Stock,,1,1,Tube,3296W-502LF-ND,2.05000,$2.05,1,,3296W-502LF-ND,10,https://www.bourns.com/docs/product-datasheets/3296.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.40.8050,Costa Rica,https://www.bourns.com/docs/rohs-cofc/cofc_trim1.pdf?sfvrsn=ec972807_4,3296W-502LF-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2383/3296W%20SERIES.jpg,
